shapeid,x,y
0,-71.00600021,42.37613738
0,-71.00662092,42.37419251
0,-71.00884357,42.36862947
0,-71.01029996,42.36495657
0,-71.00250088,42.36480813
0,-71.00180119,42.36470988
0,-71.00157615,42.36462246
0,-71.00159122,42.36421366
0,-71.00181535,42.36399181
0,-71.00185566,42.36375928
0,-71.00180477,42.36364326
0,-71.00088343,42.36284458
0,-71.00068839,42.36275647
0,-71.0001811,42.36247354
0,-70.99966879,42.3620679
0,-70.99923433,42.36171397
0,-70.99872521,42.36171175
0,-70.99847764,42.36157512
0,-70.99819283,42.36128245
0,-70.99806401,42.36101105
0,-70.99776396,42.36096089
0,-70.99737144,42.36104644
0,-70.9972012,42.36119086
0,-70.99663618,42.36151795
0,-70.99632436,42.36145869
0,-70.99606348,42.36132308
0,-70.99461334,42.36147094
0,-70.9936573,42.36187835
0,-70.99303082,42.36151474
0,-70.99140394,42.36150756
0,-70.98931117,42.36210144
0,-70.98835233,42.36198055
0,-70.98809537,42.36193923
0,-70.98767245,42.36163534
0,-70.98708334,42.36095739
0,-70.98656243,42.35958191
0,-70.98676201,42.35938138
0,-70.98625708,42.35795522
0,-70.98632208,42.35765009
0,-70.991266,42.35399826
0,-70.99174196,42.35383818
0,-70.99214166,42.35386766
0,-70.9925775,42.3540496
0,-70.99309818,42.35412407
0,-70.99416681,42.35397761
0,-70.99453204,42.35404915
0,-70.99626761,42.35529628
0,-70.99668203,42.35561119
0,-70.99687799,42.35572484
0,-70.99715177,42.35572604
0,-70.99740145,42.35563986
0,-70.99754509,42.3555343
0,-70.99762496,42.35544738
0,-70.99776968,42.35525373
0,-70.99796569,42.35521645
0,-70.99825262,42.35523718
0,-70.99847482,42.35525681
0,-70.9986182,42.35532521
0,-70.99863098,42.35539387
0,-70.9985128,42.35546031
0,-70.99817318,42.35541053
0,-70.99772712,42.35576779
0,-70.99717632,42.35598821
0,-70.99852893,42.35673968
0,-70.99941524,42.35694771
0,-71.00091742,42.35689551
