"shapeid","x","y"
"1","-71.1137756418","42.3652446356"
"1","-71.1140634385","42.3644703994"
"1","-71.1162981105","42.3643262659"
"1","-71.1162331456","42.3650470557"
"1","-71.1161625875","42.3660415482"
"1","-71.1164432182","42.3672457623"
"1","-71.1169100508","42.36795186"
"1","-71.117548488","42.3686990012"
"1","-71.1179802382","42.3690139467"
"1","-71.1190079576","42.3693761429"
"1","-71.1204048937","42.3694562237"
"1","-71.1216677242","42.3693369004"
"1","-71.12246566","42.369219469"
"1","-71.1231533733","42.3693177671"
"1","-71.12375011","42.369780039"
"1","-71.1242593279","42.3704540015"
"1","-71.1248098985","42.3714889422"
"1","-71.125494442","42.372205318"
"1","-71.1269281312","42.3732815366"
"1","-71.1279530843","42.3738590531"
"1","-71.1289794815","42.3741937149"
"1","-71.1301951512","42.3742813236"
"1","-71.1313219528","42.3742190824"
"1","-71.1323480387","42.3738951361"
"1","-71.1332477848","42.3731392724"
"1","-71.133651126","42.3726672057"
"1","-71.1336650018","42.3718289361"
"1","-71.1330725779","42.3712055155"
"1","-71.1327002445","42.3707597877"
"1","-71.1324967722","42.3698734883"
"1","-71.1329173546","42.3691380474"
"1","-71.1337752999","42.3685185639"
"1","-71.1347959176","42.3680018065"
"1","-71.1359301896","42.3677062984"
"1","-71.1363692216","42.3674531743"
"1","-71.1372440468","42.3669050639"
"1","-71.1379204406","42.366273314"
"1","-71.1389949302","42.3654225981"
"1","-71.1396368","42.3649588043"
"1","-71.1400321282","42.3648207803"
"1","-71.1409342054","42.3649189564"
"1","-71.1419463966","42.365134778"
"1","-71.1429537218","42.3653944804"
"1","-71.1434196038","42.3654576672"
"1","-71.1438419442","42.3654500577"
"1","-71.1443376225","42.3663838904"
"1","-71.1434911155","42.3665157295"
"1","-71.1426916541","42.366752669"
"1","-71.1423245623","42.3670904212"
"1","-71.1419129713","42.3677710429"
"1","-71.141260484","42.36884057"
"1","-71.1409098639","42.3694918793"
"1","-71.140442628","42.3704350665"
"1","-71.1403238704","42.3710232983"
"1","-71.1401499909","42.3724373228"
"1","-71.140040875","42.3735654806"
"1","-71.1439572963","42.3740462187"
"1","-71.1436667085","42.375249965"
"1","-71.145721572","42.3750937255"
"1","-71.1470042368","42.3749961384"
"1","-71.1496900569","42.3745515773"
"1","-71.1508765287","42.3747390366"
"1","-71.1526905729","42.374919462"
"1","-71.1543871092","42.375060403"
"1","-71.1547613842","42.3762421614"
"1","-71.1554494965","42.3782858089"
"1","-71.1558234789","42.3793584859"
"1","-71.156270136","42.3806392405"
"1","-71.1552750615","42.3802843372"
"1","-71.1550709682","42.3802116936"
"1","-71.1550219266","42.3803391458"
"1","-71.1552735919","42.380850982"
"1","-71.155307256","42.3809135102"
"1","-71.1551942476","42.3811903216"
"1","-71.1555746074","42.3814768435"
"1","-71.1564958375","42.3816744263"
"1","-71.1575890792","42.3820618537"
"1","-71.1578384746","42.3824426487"
"1","-71.1584042436","42.3833972051"
"1","-71.1603311084","42.3863541464"
"1","-71.1604001744","42.3864599962"
"1","-71.1584979262","42.386739748"
"1","-71.1581674875","42.3868821439"
"1","-71.1578374175","42.3872125081"
"1","-71.1576771366","42.3875035875"
"1","-71.157012031","42.3901434484"
"1","-71.1570334283","42.3902079974"
"1","-71.1574998584","42.3916157156"
"1","-71.1584312537","42.3945854933"
"1","-71.1563988189","42.3958684618"
"1","-71.1542073636","42.395835829"
"1","-71.1526427942","42.3955368172"
"1","-71.1499003386","42.3949371623"
"1","-71.148161712","42.3945737606"
"1","-71.1444468104","42.393821447"
